            perf 84895 [004] 2604262.859731:         70 cpu/event=0xD0,umask=0x81/u:      7f731789db04 strcmp (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859732:         24 cpu/event=0xD0,umask=0x82/u:      7f731789db04 strcmp (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859736:          4 cpu/event=0xC5,umask=0x00/u:      7f731789e5e0 strcmp (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859741:          9 cpu/event=0xC5,umask=0x00/u:      7f7317893a24 _dl_name_match_p (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84894 [002] 2604262.859741:      27037 cpu/event=0x3C,umask=0x00/u:            416104 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859745:        543 cpu/event=0xC0,umask=0x00/u:      7f731789eec4 strcmp (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84894 [002] 2604262.859746:       8559 cpu/event=0xC0,umask=0x00/u:      7f731788bf8a do_lookup_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859750:        120 cpu/event=0xD0,umask=0x81/u:      7f731788bf8a do_lookup_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859750:      11910 cpu/event=0x3C,umask=0x00/u:      7f731788bf8a do_lookup_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859764:         48 cpu/event=0xD0,umask=0x82/u:  ffffffff8186d5d0 page_fault ([kernel.kallsyms])
            perf 84895 [004] 2604262.859776:         32 cpu/event=0xC5,umask=0x00/u:      7f731788bf43 do_lookup_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84895 [004] 2604262.859785:        184 cpu/event=0xD0,umask=0x81/u:      7f7317893a29 _dl_name_match_p (/lib/x86_64-linux-gnu/ld-2.23.so)
